"geonameid","name","asciiname","latitude","longitude","country code","population","dem","modification date"
1252395,"Wangdue Phodrang","Wangdue Phodrang","27,48615","89,89915","BT",7507,1273,"2013-08-02"
1252408,"Trongsa","Trongsa","27,5026","90,50716","BT",2805,2108,"2012-02-01"
1252416,"Thimphu","Thimphu","27,46609","89,64191","BT",98676,2307,"2010-05-30"
1252422,"Trashi Yangtse","Trashi Yangtse","27,6116","91,498","BT",3025,1788,"2012-02-01"
1252423,"Trashigang","Trashigang","27,3331","91,55424","BT",872,1174,"2012-11-04"
1252433,"Daga","Daga","27,07529","89,87688","BT",2243,1558,"2012-02-01"
1252451,"Shemgang","Shemgang","27,21689","90,65794","BT",852,1900,"2012-02-01"
1252460,"Sarpang","Sarpang","26,86395","90,26745","BT",10416,344,"2013-08-02"
1252479,"Punākha","Punakha","27,59137","89,87743","BT",21500,1293,"2013-08-11"
1252484,"Phuntsholing","Phuntsholing","26,85164","89,38837","BT",17043,330,"2010-03-31"
1252490,"Paro","Paro","27,4305","89,41334","BT",2169,2266,"2012-02-01"
1252495,"Pajo","Pajo","27,53333","89,88333","BT",3032,1438,"2012-10-18"
1252514,"Mongar","Mongar","27,27471","91,23963","BT",2969,1648,"2012-02-01"
1252526,"Lhuentse","Lhuentse","27,66787","91,18393","BT",100,1403,"2013-08-02"
1252563,"Ha","Ha","27,38747","89,28074","BT",1449,2718,"2013-06-27"
1252578,"Gasa","Gasa","27,90372","89,72689","BT",548,2761,"2013-08-26"
1252601,"Daphu","Daphu","26,96667","89,38333","BT",1666,914,"2013-08-18"
1252608,"Tsirang","Tsirang","27,0219","90,12291","BT",18667,1410,"2013-08-02"
1252610,"Tsimasham","Tsimasham","27,0989","89,53604","BT",2855,2245,"2013-08-02"
1337278,"Bumthang Dzongkhag","Bumthang Dzongkhag","27,7","90,78333","BT",21658,3873,"2012-01-16"
1337279,"Chhukha Dzongkhag","Chhukha Dzongkhag",27,"89,55","BT",61173,3171,"2012-02-01"
1337280,"Dagana Dzongkhag","Dagana Dzongkhag","27,1","89,86667","BT",26837,1564,"2012-01-16"
1337281,"Tsirang Dzongkhag","Tsirang Dzongkhag","27,03333","90,16667","BT",29207,1414,"2012-02-01"
1337283,"Haa Dzongkhag","Haa Dzongkhag","27,33333","89,18333","BT",13020,3681,"2012-01-16"
1337285,"Mongar Dzongkhag","Mongar Dzongkhag","27,25","91,23333","BT",52490,2090,"2012-02-01"
1337286,"Paro Dzongkhag","Paro Dzongkhag","27,51667","89,4","BT",32129,3232,"2012-01-16"
1337288,"Punakha Dzongkhag","Punakha Dzongkhag","27,7","89,85","BT",22951,2800,"2012-02-01"
1337289,"Samtse Dzongkhag","Samtse Dzongkhag","27,03333","89,08333","BT",64805,2253,"2012-01-16"
1337290,"Samdrup Jongkhar Dzongkhag","Samdrup Jongkhar Dzongkhag","26,91667","91,61667","BT",52459,849,"2012-01-16"
1337291,"Zhemgang Dzongkhag","Zhemgang Dzongkhag","27,08333","90,85","BT",27048,2508,"2012-01-16"
1337293,"Thimphu Dzongkhag","Thimphu Dzongkhag","27,6","89,58333","BT",89840,3634,"2012-02-01"
1337294,"Trongsa Dzongkhag","Trongsa Dzongkhag","27,35","90,53333","BT",19135,1892,"2013-05-21"
1337295,"Wangdue Phodrang Dzongkhag","Wangdue Phodrang Dzongkhag","27,5","90,13333","BT",34746,3176,"2013-01-09"
1337301,"Jakar","Jakar","27,54918","90,7525","BT",4829,2587,"2013-08-08"
1337356,"Panbang","Panbang","26,86667","90,98333","BT",1360,214,"2012-01-19"
1337357,"Nganglam","Nganglam","26,78333","91,25","BT",707,145,"2012-01-19"
1337360,"Samtse","Samtse","26,89903","89,09951","BT",5479,417,"2013-08-02"
1337378,"Wamrong","Wamrong","27,06667","91,56667","BT",416,1439,"2012-01-19"
1337379,"Pemagatshel","Pemagatshel","27,03795","91,40305","BT",13864,1207,"2013-08-08"
1337386,"Daifam","Daifam","26,9","92,1","BT",662,346,"2012-05-06"
1337387,"Bhangtar","Bhangtar","26,81667","91,71667","BT",656,303,"2012-01-19"
1337388,"Samdrup Jongkhar","Samdrup Jongkhar","26,80069","91,50519","BT",7507,173,"2013-08-02"
7303651,"Gasa","Gasa","27,91313","89,70886","BT",3500,3381,"2010-12-02"
